"","C001_FD2_ORC","C001_FD3_ORC","C001_L.3_ORC","C001_L.44_ORC","C001_L.92_ORC","C001_R.1_ORC","C001_R.45_ORC","C001_R.82_ORC","C002_FD2_ORC","C002_FD3_ORC","C002_L.3_ORC","C002_L.44_ORC","C002_L.92_ORC","C002_R.1_ORC","C002_R.45_ORC","C002_R.82_ORC","C003_FD2_ORC","C003_FD3_ORC","C003_L.3_ORC","C003_L.44_ORC","C003_L.92_ORC","C003_R.1_ORC","C003_R.45_ORC","C003_R.82_ORC","C004_FD2_ORC","C004_FD3_ORC","C004_L.3_ORC","C004_L.44_ORC","C004_L.92_ORC","C004_R.1_ORC","C004_R.45_ORC","C004_R.82_ORC"
"Psychrobacter sp. 28M-43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychrobacter sp. 4Bb",0,7,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0
"Psychrobacter sp. 4Dc",0,0,0,8,1,33,2,1,0,0,0,0,1,3,1,2,0,1,0,26,0,0,7,0,0,0,2,4,0,0,0,2
"Psychrobacter sp. AntiMn-1",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"Psychrobacter sp. DAB_AL109bw",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychrobacter sp. DAB_AL32B",0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Psychrobacter sp. DAB_AL43B",0,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,7,0,0,0,0,1,0,0,0
"Psychrobacter sp. DAB_AL62B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0
"Psychrobacter sp. G",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,9,0,0,0,0,3,0,0,0,7
"Psychrobacter sp. KCTC 72983",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0
"Psychrobacter sp. KH172YL61",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Psychrobacter sp. L7",0,0,0,0,0,91,0,3,1,0,0,1,0,2,0,0,180,17,0,0,0,0,1,10,0,2,1,15,2,0,0,92
"Psychrobacter sp. LV10R520-6",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0
"Psychrobacter sp. M13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychrobacter sp. MES7-P7E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychrobacter sp. P11F6",0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,4,5,10,43,0,0,0,18,0,0,0,0,2,13,0,1
"Psychrobacter sp. P11G3",0,0,0,33,0,0,0,0,0,0,0,1,0,0,0,0,2,4,0,27,0,0,0,0,0,0,0,0,0,8,0,4
"Psychrobacter sp. P11G5",0,0,2,20,0,0,0,3,9,0,0,0,0,0,0,3,3,12,9,0,0,7,4,27,2,3,0,0,1,0,0,8
