"","C001_FD2_ORC","C001_FD3_ORC","C001_L.3_ORC","C001_L.44_ORC","C001_L.92_ORC","C001_R.1_ORC","C001_R.45_ORC","C001_R.82_ORC","C002_FD2_ORC","C002_FD3_ORC","C002_L.3_ORC","C002_L.44_ORC","C002_L.92_ORC","C002_R.1_ORC","C002_R.45_ORC","C002_R.82_ORC","C003_FD2_ORC","C003_FD3_ORC","C003_L.3_ORC","C003_L.44_ORC","C003_L.92_ORC","C003_R.1_ORC","C003_R.45_ORC","C003_R.82_ORC","C004_FD2_ORC","C004_FD3_ORC","C004_L.3_ORC","C004_L.44_ORC","C004_L.92_ORC","C004_R.1_ORC","C004_R.45_ORC","C004_R.82_ORC"
"Deinococcus actinosclerus",0,0,5,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Deinococcus aetherius",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
"Deinococcus aquaticus",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0
"Deinococcus deserti",0,36,12,7,0,0,4,4,6,0,0,0,10,1,0,2,121,94,25,32,4,88,137,134,3,1,1,6,3,2,0,0
"Deinococcus ficus",0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Deinococcus geothermalis",1,5,9,0,0,10,0,0,9,0,0,0,0,0,2,0,0,0,0,22,0,0,4,0,0,31,0,0,0,9,0,1
"Deinococcus gobiensis",0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0
"Deinococcus irradiatisoli",0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,5
"Deinococcus maricopensis",0,17,12,0,0,0,0,0,20,0,7,1,1,0,0,0,1,6,7,0,0,38,7,10,0,0,1,0,0,1,0,0
"Deinococcus metallilatus",0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1
"Deinococcus peraridilitoris",0,10,11,14,1,27,3,9,39,12,20,18,10,9,5,3,99,209,99,628,17,195,37,37,1,11,1,8,1,13,0,23
"Deinococcus proteolyticus",8,11,4,0,2,5,20,4,2,0,5,1,8,2,0,6,11,28,10,2,24,8,9,13,9,11,9,6,4,3,6,12
"Deinococcus psychrotolerans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Deinococcus puniceus",0,1,3,0,3,0,0,0,0,0,0,0,2,1,0,0,0,3,0,17,0,30,5,69,8,0,0,0,2,1,1,0
"Deinococcus radiodurans",77,232,235,778,659,911,101,321,18,9,18,9,0,82,38,84,14,4,18,119,0,342,303,419,219,6,9,38,1,18,8,130
"Deinococcus radiophilus",11,18,1,13,13,20,2,24,5,14,0,0,28,61,0,4,16,2,1,0,0,0,15,3,9,0,3,0,53,121,14,2
"Deinococcus radiopugnans",86,21,24,688,7,38,4,19,15,1,51,2,6,8,2,6,166,1730,10,54,1,38,39,189,2,145,1,15,50,0,0,40
"Deinococcus rubellus",0,0,3,0,0,42,0,2,1,2,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,3
"Deinococcus soli (ex Cha et al. 2016)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Deinococcus taeanensis",0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Deinococcus wulumuqiensis",0,0,23,0,0,0,1,2,5,0,0,2,0,4,1,2,0,0,0,0,0,0,72,0,0,0,0,0,4,6,0,12
"Delftia acidovorans",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,12,0,0,0,0,1,0,0,0
"Delftia lacustris",0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
"Delftia sp. Cs1-4",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,15,0,0,1,7,1,8
"Delftia sp. HK171",0,0,0,18,2,29,0,0,3,0,1,3,0,2,0,2,0,14,0,0,0,0,0,0,0,0,0,0,1,2,0,41
"Delftia sp. KV29",0,10,0,0,0,29,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Delftia sp. UGAL515B_04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delftia sp. WY8",0,0,0,0,0,20,0,3,10,0,0,0,0,0,0,0,0,0,2,0,1,17,0,0,0,0,2,0,0,0,0,31
"Delftia tsuruhatensis",502,810,230,1264,146,2170,477,556,253,375,2516,131,0,710,706,281,272,435,514,128,88,1154,1200,793,56,502,198,801,21,198,14,324
"Deltapolyomavirus sextihominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Demequina sediminis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Denitratisoma oestradiolicum",0,27,0,0,0,0,1,3,2,0,0,0,4,0,0,2,0,3,0,0,0,10,5,0,2,0,0,0,1,0,0,0
"Denitratisoma sp. DHT3",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,3,3,0,0,0,0
"Denitrificimonas caeni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Denitrobacterium detoxificans",1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0
"Denitrovibrio acetiphilus",2,28,42,0,1,0,0,1,6,1,42,0,4,0,1,2,7,0,6,21,0,0,47,61,0,0,1,3,0,11,1,39
"Dermabacter hominis",1,16,2,19,0,17,1,0,137,143,5,2,5,171,18,8,24,7,8,65,1,66,158,312,0,12,2,6,0,9,0,0
"Dermabacter jinjuensis",0,0,3,27,0,27,0,0,2,2,0,2,0,2,2,0,8,3,0,21,0,101,12,0,1,0,1,2,0,4,0,3
"Dermabacter vaginalis",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Dermacoccus nishinomiyaensis",119,2054,1062,3223,104,4271,78,4,809,159,246,106,70,121,69,1,941,452,1155,4990,110,7047,1140,1,263,772,116,549,51,1090,14,1
"Dermatobacter hominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0
"Dermatophilus congolensis",2,0,19,2,1,0,0,0,0,0,0,0,0,0,0,0,26,128,0,0,0,2,0,0,36,12,2,88,0,37,3,0
"Desemzia incerta",5,7,1,1,2,1,0,0,2,0,4,1,0,1,2,0,0,1,0,3,0,18,9,0,0,0,3,8,1,0,0,10
"Desulfarculus baarsii",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4,0,1,0,1,0,3,1,0,0,3,0,0,1
"Desulfatibacillum aliphaticivorans",31,27,3,0,5,14,3,7,6,1,47,19,2,37,4,2,15,9,14,14,16,14,41,14,12,16,38,15,12,15,4,5
"Desulfitobacterium dehalogenans",1,0,14,60,1,129,0,20,12,10,1,1,0,1,1,8,21,44,3,92,0,16,4,125,0,25,11,17,2,4,0,33
"Desulfitobacterium dichloroeliminans",2,0,5,0,0,0,2,1,1,2,4,6,0,0,0,1,0,0,1,0,1,0,1,12,0,0,2,0,3,0,1,0
"Desulfitobacterium hafniense",5,2,0,2,0,1,1,2,0,0,1,1,0,0,2,4,7,9,19,4,13,6,2,5,5,5,1,0,5,6,0,4
"Desulfitobacterium metallireducens",2,37,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,1,0,0,1,0,7
"Desulfobacca acetoxidans",2,0,0,0,0,0,1,17,12,0,0,3,7,5,0,2,5,15,0,8,1,0,0,124,3,0,0,3,3,0,0,43
"Desulfobacter hydrogenophilus",5,0,7,1,5,0,0,3,0,1,5,0,3,4,0,0,2,0,0,0,0,0,0,2,0,0,1,0,9,1,1,0
"Desulfobacula toluolica",16,65,12,47,0,59,2,2,36,4,3,7,3,1,0,0,17,1,40,77,6,47,4,0,5,15,0,20,0,3,0,0
"Desulfobaculum bizertense",0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Desulfobulbus oligotrophicus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfobulbus oralis",0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfobulbus propionicus",11,2,1,30,2,0,6,0,12,4,16,20,2,18,4,1,27,7,26,0,7,1,5,1,5,9,18,12,13,1,6,1
"Desulfococcus multivorans",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,5,0,0,0,0
"Desulfocurvibacter africanus",18,0,0,7,6,0,13,1,0,0,3,6,3,5,0,1,29,15,40,3,22,2,5,16,3,7,15,9,4,0,4,1
"Desulfofarcimen acetoxidans",6,60,24,130,0,43,3,5,9,1,103,6,3,8,4,7,57,2201,23,51,7,78,17,113,0,197,0,11,94,0,1,120
"Desulfofustis limnaeus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfoglaeba alkanexedens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Desulfogranum marinum",0,7,13,24,0,52,0,1,0,3,2,1,0,0,3,0,4,2,21,57,0,20,23,17,3,0,2,33,0,0,0,0
"Desulfohalobium retbaense",2,0,0,17,0,0,0,6,0,0,0,0,2,0,0,0,17,0,0,6,0,1,0,34,0,0,1,0,2,0,0,26
"Desulfolithobacter dissulfuricans",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Desulfoluna limicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfolutivibrio sulfodismutans",1,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,5,3,0,0,0,0,0,30,0,0,0,0,0,0,0,5
"Desulfolutivibrio sulfoxidireducens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfomarina profundi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfomicrobium baculatum",26,7,25,0,11,0,35,6,2,0,4,6,5,7,0,1,31,50,35,27,17,0,17,5,7,27,33,7,11,8,7,6
"Desulfomicrobium orale",1,0,5,12,0,3,0,3,4,0,0,0,1,2,0,17,25,13,0,30,0,12,12,7,0,0,0,4,0,0,0,120
"Desulfomicrobium sp. ZS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Desulfomonile tiedjei",12,2,32,0,0,0,0,3,5,0,1,0,0,0,1,0,0,0,0,20,0,22,1,2,1,0,0,1,0,2,0,5
"Desulfonema limicola",29,11,16,21,18,10,11,18,6,5,65,14,43,7,6,12,57,112,25,22,57,108,20,20,38,44,34,50,58,35,9,24
"Desulfonema magnum",73,46,58,67,39,75,36,76,23,14,92,26,96,39,6,21,264,407,161,62,300,107,23,96,220,206,47,52,129,218,26,37
"Desulfopila sp. IMCC35008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,6
"Desulforamulus ferrireducens",0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2
"Desulforamulus reducens",1,51,22,235,3,54,3,0,1,2,7,3,0,1,2,3,19,132,3,35,0,68,39,31,0,30,0,12,10,3,2,13
"Desulforamulus ruminis",27,0,4,1,6,3,1,3,10,1,9,3,0,4,6,2,15,10,4,1,1,3,8,8,1,3,8,2,10,4,1,0
"Desulforapulum autotrophicum",2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,35,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4
"Desulfosarcina alkanivorans",0,0,0,16,1,0,0,0,0,1,1,0,0,0,0,11,8,2,0,0,0,18,0,0,0,0,0,0,0,0,0,182
"Desulfosarcina ovata",190,1500,91,152,92,618,60,92,55,6,89,54,6,56,43,74,14,30,76,165,47,827,603,119,42,25,43,268,23,20,13,26
"Desulfosarcina sp. BuS5",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,17,0,0,0,0,0,0,0,0,0,0,7,1,19
"Desulfosarcina widdelii",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0
"Desulfoscipio gibsoniae",3,26,21,37,8,57,1,0,6,0,2,3,0,0,0,0,2,6,14,40,2,41,46,0,3,2,0,7,0,17,0,18
"Desulfosediminicola flagellatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Desulfosporosinus acidiphilus",0,0,0,0,0,33,0,12,8,0,0,0,0,9,0,0,14,9,15,10,3,0,0,1,0,0,0,2,0,0,0,9
"Desulfosporosinus meridiei",11,4,4,2,12,1,8,5,0,2,31,1,0,3,1,5,54,71,24,11,52,11,7,14,35,36,16,10,17,43,3,3
"Desulfosporosinus orientis",3,10,0,0,1,63,0,0,0,13,0,1,0,25,16,12,5,22,0,50,3,87,215,0,6,3,3,80,0,23,1,13
"Desulfosporosinus youngiae",0,0,2,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,12,0,0,6,3,0,0,0,0,0,10,0,10
"Desulfosudis oleivorans",3,58,55,21,6,27,10,1,10,23,20,9,139,8,6,15,20,10,12,75,4,41,24,51,1,6,8,15,6,21,2,25
"Desulfotalea psychrophila",84,66,28,54,19,65,7,30,9,1,9,7,9,4,1,3,71,49,93,619,55,1043,2764,276,10,7,11,32,11,49,1,11
"Desulfotomaculum nigrificans",1,0,0,0,1,0,0,0,8,0,0,0,1,4,1,0,0,2,0,0,0,17,17,0,1,0,1,12,1,0,0,0
"Desulfovibrio desulfuricans",7,1,7,3,2,0,0,8,8,4,1,0,1,13,1,1,0,0,1,0,0,23,2,12,0,1,2,5,3,1,0,0
"Desulfovibrio fairfieldensis",46,3,2,48,7,29,13,29,0,3,41,0,0,12,38,304,72,175,57,64,81,51,11,101,194,252,121,144,89,247,22,62
"Desulfovibrio ferrophilus",3,12,8,3,7,6,19,2,4,2,19,5,12,9,4,5,3,13,11,7,12,3,2,5,7,8,23,5,5,6,15,12
"Desulfovibrio mangrovi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,6
"Desulfovibrio piger",24,29,12,3,29,4,56,8,6,5,26,12,22,5,3,11,28,7,18,0,20,1,21,24,20,21,42,13,22,8,48,32
"Desulfovibrio sp. G11",0,0,0,17,0,2,2,0,0,0,0,0,0,3,2,4,3,1,12,3,0,0,0,13,0,3,0,1,0,0,0,2
"Desulfovibrio subterraneus",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4
"Desulfurispirillum indicum",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Desulfurivibrio alkaliphilus",0,7,0,106,0,0,1,0,5,0,4,0,1,2,0,0,3,0,1,0,1,18,54,0,0,0,0,0,0,0,0,0
"Desulfuromonas acetoxidans",4,11,1,0,4,0,0,0,3,0,3,0,1,8,2,2,2,3,0,0,1,27,1,1,2,2,5,3,4,3,1,0
"Desulfuromonas soudanensis",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,1,0,0,0,0,0,0,4
"Desulfuromonas sp. AOP6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfuromonas sp. DDH964",0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,16,1,0,0,0,0,0,1,4
"Desulfuromonas thiophila",54,628,373,648,19,1238,19,212,136,30,131,45,27,40,101,48,501,1497,273,711,21,2087,315,2146,34,195,51,81,83,222,5,1613
"Desulfuromonas versatilis",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1
"Devosia algicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devosia beringensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devosia ginsengisoli",0,30,0,0,0,19,0,0,7,1,0,0,0,0,0,0,0,0,5,26,0,57,2,0,0,0,0,2,0,0,0,0
"Devosia lacusdianchii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devosia neptuniae",6,20,10,1,4,55,9,5,18,9,6,4,0,9,3,0,33,42,29,54,3,33,12,34,8,0,1,7,4,6,0,35
"Devosia oryziradicis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devosia rhizoryzae",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Devosia rhodophyticola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devosia salina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devosia sp.",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,11,0,0,0,0,0,0,0,0,6
"Devosia sp. 1566",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Devosia sp. A16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Devosia sp. FJ2-5-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"Devosia sp. I507",0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Devosia sp. J2-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devosia sp. MC521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devosia sp. RR2S18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devosia sp. SD17-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devosia sp. SL43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devosia sp. XK-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devosia sp. YIM 151766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devriesea agamarum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diachasmimorpha entomopoxvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Dialister hominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister pneumosintes",2,38,22,0,0,63,3,1,7,0,0,1,1,1,3,0,0,1,0,0,0,71,11,104,0,3,3,4,0,17,0,17
"Dialister succinatiphilus",0,0,0,0,1,0,0,2,4,1,0,0,1,0,0,0,0,3,0,0,0,0,11,31,1,0,12,1,0,2,0,6
"Diaphorobacter aerolatus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Diaphorobacter limosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
"Diaphorobacter nitroreducens",1,0,1,19,0,18,0,0,0,0,0,0,1,0,0,0,11,1,0,0,0,39,0,29,0,0,0,0,0,5,0,0
"Diaphorobacter ruginosibacter",0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,1
"Diaphorobacter sp. C33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Diaphorobacter sp. ED-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3,0,0,0,0,0,0
"Diaphorobacter sp. HDW4A",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Diaphorobacter sp. HDW4B",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaphorobacter sp. JS3050",0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Diaphorobacter sp. JS3051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaphorobacter sp. MNS-0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dichelobacter nodosus",1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Dickeya chrysanthemi",2,3,10,0,1,22,0,0,2,0,0,2,0,1,0,1,152,116,10,0,0,94,1,13,3,21,0,1,2,1,1,134
"Dickeya dadantii",6,1,21,31,1,28,0,3,13,4,3,1,0,5,3,4,4,11,0,6,1,4,33,0,2,1,4,20,6,6,0,2
"Dickeya dianthicola",4,5,0,8,2,9,1,1,0,6,0,0,0,8,0,5,9,0,1,1,1,3,6,0,2,0,8,11,0,0,0,1
"Dickeya fangzhongdai",0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,204,0,0,3,0,0,0,0,4,0,0,0,0
"Dickeya lacustris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"Dickeya solani",0,33,0,14,2,38,3,2,19,1,0,4,1,2,0,6,3,2,0,78,0,0,6,88,3,26,0,1,6,0,0,5
"Dickeya zeae",4,0,0,9,0,0,5,0,0,3,1,0,0,3,2,9,6,14,0,0,4,25,4,0,2,6,1,23,1,25,0,1
"Dictyoglomus turgidum",0,0,0,0,0,30,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
"Dietzia cinnamea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,19,20,0,0,0,0,0,0,0,7
"Dietzia kunjamensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dietzia lutea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"Dietzia psychralcaliphila",3,52,65,193,0,73,6,27,28,2,14,11,1,6,1,9,29,4,23,139,6,202,17,182,17,41,4,12,0,36,1,231
"Dietzia timorensis",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0
"Dinoroseobacter shibae",29,48,19,39,3,128,7,70,4,6,2,1,1,8,8,1,1,0,1,1,1,8,31,3,3,1,14,31,3,17,1,13
"Dissulfurimicrobium hydrothermale",0,0,2,0,0,0,0,7,0,0,0,0,1,0,2,0,0,0,0,0,0,15,0,0,0,0,0,5,0,9,0,9
"Dissulfurispira thermophila",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,8,0,0,0,0,0,0
"Dokdonella koreensis",0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,3,11,9,0,0,0,0,0,0,0,1,12,0,0,0,6
"Dokdonia sp. 4H-3-7-5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Dokdonia sp. Dokd-P16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,8
"Dokdonia sp. MED134",0,14,3,34,0,0,0,1,3,2,4,0,3,1,0,0,1,85,0,0,0,1,0,18,3,36,2,0,0,4,1,12
"Dokdonia sp. PRO95",0,28,5,0,0,33,0,13,0,2,1,0,0,1,0,3,26,3,0,0,0,34,0,9,0,0,0,5,0,0,0,8
"Dolosigranulum pigrum",2,46,20,33,3,24,3,14,13,6,3,12,3,0,1,1,101,43,4,1,5,10,0,66,3,16,0,0,1,2,0,92
"Donellivirus gee",0,0,32,0,2,1,0,2,0,0,3,0,0,0,0,0,4,0,0,0,0,20,0,22,0,3,0,2,0,0,0,5
"Dorea formicigenerans",4,0,4,28,1,3,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,3,0,4,0,1
"Dorea longicatena",2,2,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,2,1,0,0,1
"Duamitovirus casa1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duffyella gerundensis",0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duganella dendranthematis",0,0,0,0,0,15,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1
"Duganella zoogloeoides",16,1,1,5,5,36,10,5,0,1,25,1,2,7,1,3,23,313,14,9,30,11,0,7,12,19,13,10,28,9,0,2
