"name"	"taxRank"	"taxID"	"Max"	"C004_R.82_ORC.cladeReads"	"C001_FD2_ARM.cladeReads"	"C001_FD2_ORC.cladeReads"	"C001_FD3_ORC.cladeReads"	"C001_L.3_ORC.cladeReads"	"C001_L.44_ORC.cladeReads"	"C001_L.92_ORC.cladeReads"	"C001_R.1_ORC.cladeReads"	"C001_R.45_ORC.cladeReads"	"C001_R.82_ORC.cladeReads"	"C002_FD2_ORC.cladeReads"	"C002_FD3_ORC.cladeReads"	"C002_L.3_ORC.cladeReads"	"C002_L.44_ORC.cladeReads"	"C002_L.92_ORC.cladeReads"	"C002_R.1_ORC.cladeReads"	"C002_R.45_ORC.cladeReads"	"C002_R.82_ORC.cladeReads"	"C003_FD2_ORC.cladeReads"	"C003_FD3_ORC.cladeReads"	"C003_L.3_ORC.cladeReads"	"C003_L.44_ORC.cladeReads"	"C003_L.92_ORC.cladeReads"	"C003_R.1_ORC.cladeReads"	"C003_R.45_ORC.cladeReads"	"C003_R.82_ORC.cladeReads"	"C004_FD2_ORC.cladeReads"	"C004_FD3_ORC.cladeReads"	"C004_L.3_ORC.cladeReads"	"C004_L.44_ORC.cladeReads"	"C004_L.92_ORC.cladeReads"	"C004_R.1_ORC.cladeReads"	"C004_R.45_ORC.cladeReads"	"lineage"
"Chryseobacterium sp. C-71"	"S"	2893882	24	8	NA	NA	NA	NA	NA	NA	19	NA	NA	NA	NA	NA	NA	NA	2	NA	4	NA	5	NA	18	1	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium>unclassified&nbsp;Chryseobacterium"
"Chryseobacterium sp. MA9"	"S"	2966625	14	6	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium>unclassified&nbsp;Chryseobacterium"
"Chryseobacterium sp. SG20098"	"S"	3074145	17	5	NA	NA	NA	NA	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium>unclassified&nbsp;Chryseobacterium"
"Chryseobacterium sp. MEBOG06"	"S"	2879938	8	5	NA	NA	NA	3	NA	NA	NA	1	NA	3	NA	2	NA	NA	NA	NA	NA	NA	3	NA	NA	3	NA	NA	NA	6	8	6	8	2	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium>unclassified&nbsp;Chryseobacterium"
"Chryseobacterium sp. 3008163"	"S"	2478663	4	2	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	4	NA	4	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium>unclassified&nbsp;Chryseobacterium"
"Chryseobacterium sp. PET-29"	"S"	2983267	20	1	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium>unclassified&nbsp;Chryseobacterium"
"Chryseobacterium sp. CP-77"	"S"	3116594	16	1	NA	2	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium>unclassified&nbsp;Chryseobacterium"
"Chryseobacterium scophthalmum"	"S"	59733	394	67	394	2	21	NA	55	NA	28	2	NA	4	NA	3	NA	1	4	3	5	3	33	16	54	5	23	2	12	5	27	NA	4	5	41	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium aureum"	"S"	2497456	753	67	NA	23	109	14	64	6	286	8	13	95	306	52	80	63	706	155	116	63	103	125	407	22	753	198	628	89	123	57	118	16	111	9	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium piperi"	"S"	558152	4648	62	NA	414	451	23	57	69	122	714	26	NA	NA	2	NA	1	3	14	42	1315	135	259	83	4648	79	NA	346	1	NA	15	10	1	8	3	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium taklimakanense"	"S"	536441	945	57	164	429	471	52	23	75	151	945	5	29	6	7	22	4	10	NA	3	224	20	26	176	12	46	8	42	8	2	16	12	5	32	8	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium indologenes"	"S"	253	288	35	288	6	20	10	1	4	55	9	5	18	9	6	4	NA	9	3	NA	33	42	29	54	3	33	12	34	8	NA	1	7	4	6	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium arthrosphaerae"	"S"	651561	4471	24	NA	1111	1676	1017	30	8	1550	4471	36	1	3	1	NA	NA	1	NA	1	NA	16	4	17	1	17	4	10	NA	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium balustinum"	"S"	246	62	23	43	8	10	12	NA	NA	20	22	6	NA	NA	NA	7	NA	NA	NA	NA	8	8	NA	62	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium oryzae"	"S"	2929799	321	23	71	124	88	72	11	9	213	321	3	6	4	17	1	1	7	3	NA	37	25	7	58	11	NA	1	37	11	1	1	12	5	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium lactis"	"S"	1241981	21	21	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	2	7	1	NA	4	NA	NA	3	8	8	13	10	NA	13	NA	5	1	10	3	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium carnipullorum"	"S"	1124835	21	20	NA	2	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	3	1	NA	NA	2	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium shandongense"	"S"	1493872	42	20	NA	15	42	10	1	4	1	11	1	14	NA	NA	NA	NA	2	2	NA	4	3	NA	33	19	1	NA	17	3	6	2	8	2	3	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium gleum"	"S"	250	4290	12	NA	6	12	8	25	3	29	4	6	2	NA	7	3	1	2	4	NA	1	4290	7	33	3	120	34	15	NA	122	1	13	2	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium suipulveris"	"S"	2929800	370	11	NA	3	4	1	NA	4	NA	3	NA	44	20	77	19	1	31	25	21	12	12	108	370	68	59	32	81	7	10	12	13	1	5	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium fluminis"	"S"	2983606	39	10	NA	1	8	NA	39	1	35	NA	NA	NA	NA	NA	NA	NA	2	4	4	3	15	5	NA	7	NA	3	NA	NA	NA	NA	11	3	4	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium gambrini"	"S"	373672	331	9	331	6	NA	NA	NA	1	NA	NA	1	9	6	4	NA	NA	2	3	6	NA	20	55	107	NA	29	9	13	3	NA	NA	20	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium camelliae"	"S"	1265445	4787	6	180	2271	1247	1500	85	5	2480	4787	59	2	NA	NA	NA	NA	NA	NA	3	8	8	NA	NA	3	NA	2	NA	3	NA	2	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium gallinarum"	"S"	1324352	31	6	NA	2	1	NA	NA	2	31	3	1	NA	1	1	1	1	5	2	NA	3	4	3	9	5	21	NA	13	NA	NA	5	5	NA	3	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium paludis"	"S"	2956784	26	6	NA	1	NA	NA	6	1	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	10	26	2	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium glaciei"	"S"	1685010	28	6	NA	2	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	3	NA	3	NA	28	4	NA	7	12	NA	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium indoltheticum"	"S"	254	27	5	1	3	NA	NA	27	NA	NA	4	NA	NA	NA	1	NA	NA	NA	NA	NA	4	10	26	15	NA	NA	13	11	5	14	NA	NA	1	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium nepalense"	"S"	1854498	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium capnotolerans"	"S"	2759528	1194	3	1194	NA	9	NA	NA	NA	6	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	4	NA	NA	NA	25	NA	1	NA	NA	NA	2	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium daecheongense"	"S"	192389	20	2	NA	6	NA	NA	NA	1	NA	1	3	NA	NA	NA	NA	NA	NA	1	NA	3	5	6	20	NA	NA	NA	17	NA	NA	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium bernardetii"	"S"	1241978	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	13	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Chryseobacterium manosquense"	"S"	2754694	159	1	140	6	17	1	26	2	45	2	1	11	3	9	2	6	1	NA	2	59	38	48	159	1	55	NA	28	1	2	3	6	NA	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Chryseobacterium"
"Epilithonimonas zeae"	"S"	1416779	284	203	NA	22	12	8	45	1	39	7	NA	45	5	13	10	4	1	5	6	50	20	59	284	7	56	6	NA	3	10	NA	NA	4	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Epilithonimonas"
"Epilithonimonas vandammei"	"S"	2487072	9257	156	1132	21	94	31	191	3	184	4	13	1501	178	487	225	115	131	106	12	2017	1523	2219	9257	132	251	41	244	16	262	9	26	98	46	2	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Epilithonimonas"
"Kaistella sp. 97-N-M2"	"S"	2908645	491	237	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	6	NA	18	4	NA	8	2	7	NA	NA	NA	491	31	15	62	1	164	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Kaistella>unclassified&nbsp;Kaistella"
"Kaistella polysaccharea"	"S"	2878534	36	36	NA	NA	NA	11	NA	NA	NA	6	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Kaistella"
"Kaistella jeonii"	"S"	266749	166	11	166	4	14	NA	5	NA	2	4	1	4	NA	NA	NA	NA	NA	1	5	25	3	NA	23	5	NA	NA	21	NA	3	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Kaistella"
"Kaistella faecalis"	"S"	2852098	33	11	NA	12	13	NA	NA	NA	NA	9	3	NA	1	NA	NA	NA	NA	NA	3	NA	5	NA	33	NA	NA	NA	NA	1	NA	NA	NA	3	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Kaistella"
"Kaistella carnis"	"S"	1241979	18	7	NA	4	NA	NA	NA	2	1	5	NA	NA	2	4	NA	NA	1	NA	NA	10	4	13	18	6	NA	1	8	NA	NA	1	2	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Kaistella"
"Kaistella daneshvariae"	"S"	2487074	19	4	NA	1	12	NA	19	2	NA	1	NA	2	1	NA	NA	NA	1	NA	NA	2	NA	NA	NA	1	NA	NA	NA	2	NA	11	13	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Kaistella"
"Kaistella antarctica"	"S"	266748	16	3	NA	2	5	1	NA	NA	4	13	NA	NA	NA	NA	NA	NA	3	NA	NA	16	NA	2	NA	9	NA	1	4	NA	NA	2	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Kaistella"
"Kaistella flava (ex Peng et al. 2021)"	"S"	2038776	42	2	NA	15	1	NA	42	1	NA	3	NA	NA	NA	3	NA	NA	5	NA	2	9	4	NA	25	7	NA	3	11	NA	8	NA	12	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium&nbsp;group>Kaistella"
"Riemerella anatipestifer"	"S"	34085	18590	913	1	9468	4150	2058	2951	2307	2515	4251	1139	1075	2132	1413	1045	482	4697	1063	1092	2012	2461	4092	18590	3162	8348	4084	6562	1639	3902	2134	3762	1013	2057	475	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Riemerella"
"Riemerella columbina"	"S"	103810	69	17	NA	19	5	NA	5	7	NA	17	1	12	5	1	3	NA	9	8	3	39	9	20	NA	69	NA	13	34	3	7	6	14	6	8	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Riemerella"
"Bergeyella cardium"	"S"	1585976	16933	404	NA	9048	9750	3205	1432	1343	6373	16933	559	514	1028	863	542	215	2584	744	921	4413	855	2059	5364	7141	2630	721	3625	833	1166	957	1439	426	603	138	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Bergeyella"
"Bergeyella porcorum"	"S"	1735111	15119	344	231	5295	3339	932	3066	1188	2574	3055	555	306	543	915	284	57	899	425	566	509	523	2288	12139	1369	3714	1748	15119	568	1435	360	705	308	724	169	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Bergeyella"
"Empedobacter falsenii"	"S"	343874	2374	380	932	4	58	14	90	5	63	5	9	4	1	66	21	2	17	11	NA	563	2374	11	65	4	132	37	47	10	204	NA	21	68	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Empedobacter"
"Empedobacter stercoris"	"S"	1628248	393	33	NA	NA	NA	NA	40	NA	NA	NA	NA	NA	NA	1	1	NA	NA	2	NA	393	142	NA	NA	NA	28	NA	13	NA	20	1	NA	3	3	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Empedobacter"
"Empedobacter brevis"	"S"	247	236	22	236	5	NA	NA	12	3	NA	2	4	7	4	3	9	NA	22	4	11	38	68	NA	NA	2	NA	NA	NA	NA	18	1	7	5	8	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Empedobacter"
"Cloacibacterium caeni"	"S"	2004710	3536	219	3536	11	13	17	83	8	129	12	103	57	4	12	27	1	4	7	33	61	412	69	195	14	179	22	2822	1	23	2	14	47	35	2	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Cloacibacterium"
"Cloacibacterium normanense"	"S"	237258	991	101	490	6	78	22	NA	3	23	7	57	NA	1	1	9	3	4	3	16	14	149	9	55	1	62	28	991	NA	17	3	14	11	24	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Cloacibacterium"
"Cloacibacterium sp. TD35"	"S"	2976818	520	22	131	1	10	4	NA	NA	23	4	6	5	NA	2	2	1	1	2	7	NA	55	20	39	13	15	1	520	4	29	1	NA	2	8	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Cloacibacterium>unclassified&nbsp;Cloacibacterium"
"Apibacter sp. ESL0432"	"S"	2704652	9	9	1	1	4	1	NA	NA	3	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Apibacter>unclassified&nbsp;Apibacter"
"Apibacter raozihei"	"S"	2500547	11	3	1	6	4	2	NA	2	1	5	NA	NA	2	4	NA	NA	3	NA	NA	11	NA	1	6	2	4	3	1	1	3	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Apibacter"
"Faecalibacter sp. LW9"	"S"	3103144	127	41	NA	51	74	65	17	88	29	94	14	29	34	77	38	105	41	16	30	63	103	57	30	73	56	46	24	43	111	108	33	31	23	127	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Faecalibacter>unclassified&nbsp;Faecalibacter"
"Faecalibacter bovis"	"S"	2898187	45	5	NA	NA	11	NA	24	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	15	18	2	NA	3	45	6	NA	3	5	2	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Faecalibacter"
"Elizabethkingia sp. JS20170427COW"	"S"	2583851	159	7	NA	80	34	11	34	18	16	54	7	16	37	16	19	11	42	36	16	19	41	19	37	79	52	59	159	25	42	23	47	11	19	6	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Elizabethkingia>unclassified&nbsp;Elizabethkingia"
"Elizabethkingia sp. M8"	"S"	2796140	48	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	4	NA	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Elizabethkingia>unclassified&nbsp;Elizabethkingia"
"Elizabethkingia bruuniana"	"S"	1756149	193	12	193	NA	71	5	61	1	55	2	6	9	4	8	NA	3	NA	NA	1	4	2	14	74	2	143	6	127	NA	NA	7	7	NA	12	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Elizabethkingia"
"Elizabethkingia miricola"	"S"	172045	15	11	2	NA	NA	NA	NA	NA	NA	NA	3	4	NA	NA	1	NA	NA	NA	NA	NA	15	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Weeksellaceae>Elizabethkingia"
