"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ERR589505","ERR589506","ERR589509","ERR589529","ERR589538","ERR589555","ERR589571","ERR589575","ERR589579","ERR589593","ERR589736","ERR589737","ERR589766","ERR589767","ERR589788","ERR589789","ERR589813","ERR589837","ERR589839","ERR589849","ERR589851","ERR589852","ERR589853","ERR589856","ERR589857","ERR589859","ERR589868","ERR589442","ERR589443","ERR589485","ERR589501","ERR589511","ERR589530","ERR589532","ERR589537","ERR589544","ERR589561","ERR589563","ERR589565","ERR589572","ERR589576","ERR589581","ERR589747","ERR589748","ERR589764","ERR589769","ERR589771","ERR589772","ERR589775","ERR589833","ERR589858","logFC"
"14395","Staphylococcus cohnii",8.16027924372708,-0.0726749490497335,0.462618638050862,-0.157094727864689,0.875170192548658,0.946275490243435,2,17,0,2,15,21,0,4,5,7,26,7,5,7,46,9,14,0,10,12,2,9,13,10,1,31,0,63,16,1,0,7,1,3,6,4,3,0,3,8,7,2,5,6,6,9,17,10,8,0,7,-0.0218773395973213
"14396","Staphylococcus condimenti",5.85719838797359,1.58186102010003,0.645080255365615,2.4521925868022,0.0141988645280208,0.12463167031446,2,0,0,1,2,0,3,8,69,1,2,2,5,0,9,0,4,4,8,4,51,5,40,17,1,25,4,0,0,2,3,5,0,0,1,0,0,0,0,7,1,16,1,3,18,39,0,2,4,0,5,0.476187616021734
"14398","Staphylococcus delphini",2.2277367280221,1.00716800463496,0.769739779662162,1.30845258520614,0.19071984671731,0.458266441235505,7,3,1,0,1,1,0,5,0,0,31,0,14,2,14,1,0,0,0,5,0,0,1,26,3,1,0,0,2,1,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,5,22,1,4,0,4,0.303187780068163
"14400","Staphylococcus edaphicus",2.27918995261504,-0.331746147352455,0.611750608520129,-0.542289852649225,0.587618844914453,0.797137357026281,1,0,0,0,0,0,0,1,1,2,16,0,3,4,1,0,1,0,5,10,7,7,4,2,0,108,1,0,1,2,3,1,0,0,1,0,7,0,1,1,3,3,0,3,10,1,0,1,2,0,6,-0.0998655412990519
"14401","Staphylococcus epidermidis",21.779308769543,0.139709165234148,0.418021897600694,0.334214944327155,0.73821736780748,0.879754161102177,26,1,1,17,12,62,11,48,5,133,24,53,22,8,27,9,67,9,14,8,2,61,12,33,27,169,2,39,19,1,3,21,0,8,5,2,2,0,6,22,116,36,6,55,81,19,26,11,45,1,62,0.042056649404654
"14407","Staphylococcus felis",11.6732192215688,-0.484021253650714,0.479830257140508,-1.00873433145959,0.313102062200441,0.589361115106091,7,0,13,6,4,41,1,2,20,2,20,10,7,9,7,13,9,4,65,2,20,62,25,12,2,56,0,0,4,16,23,30,1,5,5,58,0,1,0,1,8,8,1,187,16,34,7,15,34,0,1,-0.145704915887749
"14408","Staphylococcus gallinarum",2.89721458641461,-0.721099224545024,0.510702435723011,-1.41197529932308,0.157957234297851,0.414014928178317,2,0,2,2,2,4,1,12,1,132,5,0,5,2,3,1,2,3,7,2,2,2,7,1,11,0,0,0,5,9,2,3,0,3,0,1,0,0,0,44,2,3,3,2,1,0,2,3,9,0,14,-0.217072496438089
"14409","Staphylococcus haemolyticus",2.6730334785139,-0.167291275157651,0.54111479911652,-0.309160413706645,0.757199505047078,0.886183904720578,9,1,0,0,1,1,0,2,0,7,27,0,1,0,3,3,10,1,9,7,1,2,8,0,1,24,0,0,3,2,0,22,0,0,1,3,2,1,0,4,1,1,7,2,3,0,9,4,5,0,5,-0.0503596918353297
"14410","Staphylococcus hominis",6.35430706953485,0.716069605995997,0.433064562237128,1.65349388621622,0.0982303893564577,0.320059782493663,2,2,3,8,14,2,2,4,3,7,33,2,10,0,23,3,5,5,6,6,1,40,65,35,8,8,0,7,12,7,2,4,1,1,1,5,0,1,1,2,3,5,3,8,0,3,22,13,9,0,14,0.215558430388084
"14413","Staphylococcus hyicus",2.86885967134549,-0.0796120848934909,0.598430633745268,-0.133034775300923,0.894165878211178,0.95455108815949,1,3,0,0,1,1,0,2,0,4,2,0,1,7,5,3,27,2,5,11,0,7,4,5,2,2,1,0,4,2,0,0,0,15,1,2,1,0,0,9,1,2,2,0,1,7,3,0,1,0,1,-0.0239656255702881
"14420","Staphylococcus nepalensis",3.68905847572031,0.555447152447378,0.831829773554453,0.667741369816475,0.504298697583911,0.736879583880756,4,0,0,0,6,2,1,2,0,11,3,25,3,0,8,0,15,1,5,0,6,28,3,0,3,109,0,0,0,0,0,1,0,0,0,0,0,0,0,3,8,0,0,2,53,0,11,0,1,0,25,0.167206253892805
"14425","Staphylococcus pseudintermedius",69.116980916207,-0.159842684196223,0.290831555568607,-0.549605712088954,0.582589840127493,0.79549558947811,98,10,37,11,21,147,32,50,19,111,204,60,58,179,114,196,185,14,88,52,76,92,96,179,139,87,11,71,47,179,58,68,3,26,82,230,8,24,51,59,31,70,126,17,48,144,68,156,85,1,42,-0.048117442530508
"14427","Staphylococcus pseudoxylosus",3.45086536367001,1.84367378244525,0.751449732053928,2.45348917406087,0.0141477797936465,0.124626781646532,3,0,0,9,4,1,2,1,0,36,0,0,2,0,2,0,22,6,3,0,3,5,17,1,2,2,0,0,0,0,0,0,0,1,0,1,0,0,1,3,1,2,6,1,2,0,2,0,0,1,1,0.55500111073529
"14428","Staphylococcus ratti",2.99468254045121,-0.31795965160789,0.546145013686489,-0.582189059022358,0.56043934212257,0.781077965324878,7,1,3,2,10,13,1,0,5,1,7,3,4,10,0,5,1,0,4,0,4,3,4,0,0,12,0,2,0,2,0,2,0,14,4,3,0,0,0,6,5,3,2,1,4,0,5,0,2,0,14,-0.0957153925448442
"14430","Staphylococcus saccharolyticus",5.88305663875395,-1.51174970813977,0.504521421517715,-2.99640341056697,0.00273184767646985,0.0506268708640347,2,8,1,0,0,0,3,1,1,14,11,8,2,5,1,10,6,3,6,0,0,5,6,2,0,28,0,0,3,4,0,37,0,10,46,7,1,0,1,27,13,12,3,29,1,8,17,15,35,0,4,-0.455082008086341
