KO	Name	C001_FD2_TZO.quant	C001_FD3_TZO.quant	C001_L-3_TZO.quant	C001_L-44_TZO.quant	C001_L-92_TZO.quant	C001_R+1_TZO.quant	C001_R+45_TZO.quant	C001_R+82_TZO.quant	C002_FD2_TZO.quant	C002_FD3_TZO.quant	C002_L-3_TZO.quant	C002_L-44_TZO.quant	C002_L-92_TZO.quant	C002_R+1_TZO.quant	C002_R+45_TZO.quant	C002_R+82_TZO.quant	C003_FD2_TZO.quant	C003_FD3_TZO.quant	C003_L-3_TZO.quant	C003_L-44_TZO.quant	C003_L-92_TZO.quant	C003_R+45_TZO.quant	C003_R+82_TZO.quant	C004_FD2_TZO.quant	C004_FD3_TZO.quant	C004_L-3_TZO.quant	C004_L-44_TZO.quant	C004_L-92_TZO.quant	C004_R+1_TZO.quant	C004_R+45_TZO.quant	C004_R+82_TZO.quant
K00045	k141_45307_1k141_6268_1k141_33685_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00048	k141_2891_2k141_48727_1k141_40448_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00049	k141_15236_1k141_29637_1k141_5122_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00052	k141_26593_1k141_14802_1k141_30066_1k141_30066_2k141_13628_1k141_18645_1k141_2544_1k141_61139_1k141_28106_1k141_32916_1k141_29804_2k141_31437_1k141_29785_1k141_42244_1k141_27902_1k141_9522_14k141_33628_1k141_53315_1k141_55169_2k141_21262_1k141_18898_2k141_41705_1k141_30304_1k141_23507_1k141_29627_1k141_5563_2k141_53751_1k141_18632_2	3.0	0.0	62.0	9.0	0.0	36.0	9.706	0.0	0.0	76.0	0.0	0.0	0.0	6.0	0.0	0.0	25.0	19.0	98.0	46.0	56.0	9.0	52.319	0.0	0.0	0.0	0.0	0.0	8.0	1.0	22.0
K00053	k141_17180_1k141_16437_2k141_23244_1k141_16545_1k141_23960_1k141_16708_1k141_17739_2k141_41658_2k141_18251_1k141_20324_1k141_20690_1k141_1401_1k141_46914_1k141_25567_1k141_12640_1k141_5088_1k141_52853_1k141_20628_1k141_4653_1k141_32069_1k141_24431_1k141_44979_1k141_14741_1k141_27632_1k141_13905_2k141_54894_1k141_41560_1k141_48581_1k141_60308_1k141_39105_1k141_16004_2	25.778	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.231	22.0	13.0	0.769	66.36	0.0	0.0	145.0	13.829	37.674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00054	k141_15830_1k141_9512_1k141_61496_1k141_23784_1k141_24411_1k141_21796_1k141_10199_2k141_57524_1k141_31518_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00055	k141_18684_1	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00057	k141_24326_1k141_2462_1k141_15367_1k141_28658_1k141_57499_1k141_27394_2k141_2515_1k141_59558_1k141_15936_1k141_12808_1k141_8700_1k141_23273_2k141_52212_1k141_1222_1k141_27983_1k141_28361_1k141_32535_2k141_38898_1k141_33996_1k141_21631_3k141_496_2k141_18760_2k141_14702_2	8.891	0.0	0.0	47.82	20.537	0.0	5.775	40.699	0.0	0.0	46.0	0.0	0.0	26.0	0.0	0.0	13.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.684	11.032
K00058	k141_15105_1k141_23218_2k141_29439_1k141_48662_1k141_32245_1k141_9560_1k141_26065_1k141_26741_1k141_15338_1k141_2908_1k141_6929_1k141_62448_1k141_27748_1k141_3953_1k141_12045_1k141_45900_1k141_11255_1k141_1276_1k141_24794_2k141_45679_1k141_336_1k141_33866_3k141_22109_1k141_23747_1k141_5082_1k141_41747_1k141_29326_1k141_28744_1k141_23636_1k141_19535_1k141_43_1k141_3999_1k141_16673_1k141_5591_3k141_5786_1k141_31257_1k141_2037_1k141_47767_1k141_34471_1k141_5341_1k141_21207_1k141_39740_1k141_11428_1k141_46519_2k141_32362_1k141_37761_2k141_63004_1k141_57410_1k141_47622_1k141_25057_2k141_30270_1k141_8053_2k141_55691_1k141_51943_1k141_58091_1k141_54971_1k141_10289_3k141_42138_1k141_52594_1k141_32161_2k141_43589_2k141_56917_1k141_54005_1k141_19646_2k141_30158_2k141_27820_1	157.65200000000002	32.0	367.0	293.0	217.696	166.232	75.807	256.28700000000003	148.404	473.0	25.0	213.0	169.661	81.0	225.84300000000002	348.603	369.166	285.411	200.0	146.933	400.0	255.661	301.255	1.0	18.115	47.0	90.0	58.311	46.0	105.789	310.116
K00059	k141_4564_1k141_17467_1k141_24861_1k141_32506_1k141_19918_1k141_8761_1k141_44384_1k141_28022_1k141_36259_1k141_40285_1k141_55583_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
